Date_Key,Year,Quarter,Month_Num,Month_Name,Year_Month,Day_Name,Is_Weekend,Is_Complete_Month,Date
20220101,2022,Q1,1,Jan,2022-01,Saturday,1,1,2022-01-01
20220102,2022,Q1,1,Jan,2022-01,Sunday,1,1,2022-01-02
20220103,2022,Q1,1,Jan,2022-01,Monday,0,1,2022-01-03
20220104,2022,Q1,1,Jan,2022-01,Tuesday,0,1,2022-01-04
20220105,2022,Q1,1,Jan,2022-01,Wednesday,0,1,2022-01-05
20220106,2022,Q1,1,Jan,2022-01,Thursday,0,1,2022-01-06
20220107,2022,Q1,1,Jan,2022-01,Friday,0,1,2022-01-07
20220108,2022,Q1,1,Jan,2022-01,Saturday,1,1,2022-01-08
20220109,2022,Q1,1,Jan,2022-01,Sunday,1,1,2022-01-09
20220110,2022,Q1,1,Jan,2022-01,Monday,0,1,2022-01-10
20220111,2022,Q1,1,Jan,2022-01,Tuesday,0,1,2022-01-11
20220112,2022,Q1,1,Jan,2022-01,Wednesday,0,1,2022-01-12
20220113,2022,Q1,1,Jan,2022-01,Thursday,0,1,2022-01-13
20220114,2022,Q1,1,Jan,2022-01,Friday,0,1,2022-01-14
20220115,2022,Q1,1,Jan,2022-01,Saturday,1,1,2022-01-15
20220116,2022,Q1,1,Jan,2022-01,Sunday,1,1,2022-01-16
20220117,2022,Q1,1,Jan,2022-01,Monday,0,1,2022-01-17
20220118,2022,Q1,1,Jan,2022-01,Tuesday,0,1,2022-01-18
20220119,2022,Q1,1,Jan,2022-01,Wednesday,0,1,2022-01-19
20220120,2022,Q1,1,Jan,2022-01,Thursday,0,1,2022-01-20
20220121,2022,Q1,1,Jan,2022-01,Friday,0,1,2022-01-21
20220122,2022,Q1,1,Jan,2022-01,Saturday,1,1,2022-01-22
20220123,2022,Q1,1,Jan,2022-01,Sunday,1,1,2022-01-23
20220124,2022,Q1,1,Jan,2022-01,Monday,0,1,2022-01-24
20220125,2022,Q1,1,Jan,2022-01,Tuesday,0,1,2022-01-25
20220126,2022,Q1,1,Jan,2022-01,Wednesday,0,1,2022-01-26
20220127,2022,Q1,1,Jan,2022-01,Thursday,0,1,2022-01-27
20220128,2022,Q1,1,Jan,2022-01,Friday,0,1,2022-01-28
20220129,2022,Q1,1,Jan,2022-01,Saturday,1,1,2022-01-29
20220130,2022,Q1,1,Jan,2022-01,Sunday,1,1,2022-01-30
20220131,2022,Q1,1,Jan,2022-01,Monday,0,1,2022-01-31
20220201,2022,Q1,2,Feb,2022-02,Tuesday,0,1,2022-02-01
20220202,2022,Q1,2,Feb,2022-02,Wednesday,0,1,2022-02-02
20220203,2022,Q1,2,Feb,2022-02,Thursday,0,1,2022-02-03
20220204,2022,Q1,2,Feb,2022-02,Friday,0,1,2022-02-04
20220205,2022,Q1,2,Feb,2022-02,Saturday,1,1,2022-02-05
20220206,2022,Q1,2,Feb,2022-02,Sunday,1,1,2022-02-06
20220207,2022,Q1,2,Feb,2022-02,Monday,0,1,2022-02-07
