Product_ID,Total_Units_Sold,Avg_Daily_Demand,Avg_Price
P0001,498061,136.27,54.55
P0002,487827,133.47,55.27
P0003,493279,134.96,54.89
P0004,495501,135.57,55.54
P0005,503648,137.8,55.02
P0006,497131,136.01,54.77
P0007,499321,136.61,54.92
P0008,488563,133.67,55.35
P0009,502086,137.37,55.16
P0010,496469,135.83,55.36
P0011,499362,136.62,56.43
P0012,491670,134.52,54.96
P0013,500619,136.97,55.06
P0014,507622,138.88,55.76
P0015,507283,138.79,54.77
P0016,508472,139.12,54.83
P0017,500510,136.94,54.65
P0018,492551,134.76,54.82
P0019,497899,136.22,55.08
P0020,507708,138.91,55.52
