Date,SKU_Key,Store_ID,Product_ID,Category,Region,Weather_Condition,Seasonality,Holiday_Promotion,Discount,Inventory_Level,Units_Sold,Units_Ordered,Demand_Forecast,Price,Net_Price,Competitor_Pricing,Revenue,Inventory_Value,Avg_Daily_Demand,Days_of_Cover,Reorder_Point,Below_Reorder_Point,Excess_Units,Excess_Value,Sold_Out,Stockout_Risk,Unserved_Units,Forecast_Error,Abs_Forecast_Error,Order_Requirement,Order_Gap,Stock_Status,Recommended_Action
2022-01-01,S001-P0001,S001,P0001,Groceries,North,Rainy,Autumn,0,20,231,127,55,135.47,33.5,26.8,29.69,3403.6,7738.5,137.31,1.68,205.96,0,0.0,0.0,0,0,0.0,8.47,8.47,180.92,-125.92,Healthy,MAINTAIN
2022-01-02,S001-P0001,S001,P0001,Groceries,West,Cloudy,Spring,0,10,116,81,104,92.94,27.95,25.16,30.89,2037.56,3242.2,137.31,0.84,205.96,1,0.0,0.0,0,0,0.0,11.94,11.94,295.92,-191.92,Critical,REPLENISH NOW
2022-01-03,S001-P0001,S001,P0001,Electronics,West,Rainy,Winter,0,20,154,5,189,5.36,62.7,50.16,58.22,250.8,9655.8,137.31,1.12,205.96,1,0.0,0.0,0,0,0.0,0.36,0.36,257.92,-68.92,Below Reorder,REPLENISH
2022-01-04,S001-P0001,S001,P0001,Groceries,South,Cloudy,Winter,1,15,85,58,193,52.87,77.88,66.2,75.99,3839.48,6619.8,137.31,0.62,205.96,1,0.0,0.0,0,0,0.0,-5.13,5.13,326.92,-133.92,Critical,REPLENISH NOW
2022-01-05,S001-P0001,S001,P0001,Groceries,South,Sunny,Winter,1,20,238,147,37,150.27,28.46,22.77,29.4,3346.9,6773.48,137.31,1.73,205.96,0,0.0,0.0,0,0,0.0,3.27,3.27,173.92,-136.92,Healthy,MAINTAIN
2022-01-06,S001-P0001,S001,P0001,Electronics,East,Snowy,Summer,0,5,198,37,155,39.09,91.05,86.5,87.3,3200.41,18027.9,137.31,1.44,205.96,1,0.0,0.0,0,0,0.0,2.09,2.09,213.92,-58.92,Below Reorder,REPLENISH
2022-01-07,S001-P0001,S001,P0001,Furniture,North,Sunny,Winter,1,10,195,107,106,117.92,53.99,48.59,58.8,5199.24,10528.05,80.29,2.43,120.43,0,0.0,0.0,0,0,0.0,10.92,10.92,45.86,60.14,Healthy,MAINTAIN
2022-01-08,S001-P0001,S001,P0001,Furniture,East,Cloudy,Winter,1,20,231,2,119,0.84,66.3,53.04,63.82,106.08,15315.3,70.5,3.28,105.75,0,19.5,1292.85,0,0,0.0,-1.16,1.16,0.0,119.0,Excess,REDUCE STOCK
2022-01-09,S001-P0001,S001,P0001,Electronics,South,Sunny,Summer,1,0,373,350,178,352.24,41.72,41.72,38.68,14602.0,15561.56,101.56,3.67,152.33,0,68.33,2850.87,0,0,0.0,2.24,2.24,0.0,178.0,Excess,REDUCE STOCK
2022-01-10,S001-P0001,S001,P0001,Electronics,West,Snowy,Summer,1,5,327,36,132,39.5,32.68,31.05,34.71,1117.66,10686.36,95.0,3.44,142.5,0,42.0,1372.56,0,0,0.0,3.5,3.5,0.0,132.0,Excess,REDUCE STOCK
2022-01-11,S001-P0001,S001,P0001,Furniture,West,Rainy,Autumn,1,5,101,16,193,16.11,27.53,26.15,27.08,418.46,2780.53,87.82,1.15,131.73,1,0.0,0.0,0,0,0.0,0.11,0.11,162.45,30.55,Below Reorder,REPLENISH
2022-01-12,S001-P0001,S001,P0001,Toys,South,Snowy,Winter,0,0,145,104,189,100.32,92.92,92.92,97.59,9663.68,13473.4,89.17,1.63,133.75,0,0.0,0.0,0,0,0.0,-3.68,3.68,122.5,66.5,Healthy,MAINTAIN
2022-01-13,S001-P0001,S001,P0001,Furniture,East,Snowy,Spring,1,15,110,80,190,78.64,17.27,14.68,21.79,1174.36,1899.7,88.46,1.24,132.69,1,0.0,0.0,0,0,0.0,-1.36,1.36,155.38,34.62,Below Reorder,REPLENISH
2022-01-14,S001-P0001,S001,P0001,Toys,North,Snowy,Winter,0,20,199,177,44,193.23,90.05,72.04,87.05,12751.08,17919.95,94.79,2.1,142.18,0,0.0,0.0,0,0,0.0,16.23,16.23,85.36,-41.36,Healthy,MAINTAIN
2022-01-15,S001-P0001,S001,P0001,Groceries,North,Rainy,Spring,1,10,290,176,94,170.06,98.04,88.24,98.2,15529.54,28431.6,100.2,2.89,150.3,0,0.0,0.0,0,0,0.0,-5.94,5.94,10.6,83.4,Healthy,MAINTAIN
2022-01-16,S001-P0001,S001,P0001,Groceries,East,Snowy,Winter,0,15,104,97,189,114.65,11.39,9.68,7.96,939.11,1184.56,100.0,1.04,150.0,1,0.0,0.0,0,1,10.65,17.65,17.65,196.0,-7.0,Below Reorder,REPLENISH
2022-01-17,S001-P0001,S001,P0001,Groceries,East,Rainy,Summer,1,0,134,69,95,73.59,95.27,95.27,92.6,6573.63,12766.18,98.18,1.36,147.26,1,0.0,0.0,0,0,0.0,4.59,4.59,160.53,-65.53,Below Reorder,REPLENISH
2022-01-18,S001-P0001,S001,P0001,Electronics,North,Sunny,Spring,0,15,339,123,157,134.0,90.7,77.1,86.51,9482.68,30747.3,99.56,3.41,149.33,0,40.33,3658.23,0,0,0.0,11.0,11.0,0.0,157.0,Excess,REDUCE STOCK
2022-01-19,S001-P0001,S001,P0001,Groceries,West,Cloudy,Summer,0,10,431,211,139,228.92,97.97,88.17,95.06,18604.5,42225.07,105.42,4.09,158.13,0,114.74,11240.77,0,0,0.0,17.92,17.92,0.0,139.0,Excess,REDUCE STOCK
2022-01-20,S001-P0001,S001,P0001,Furniture,North,Cloudy,Spring,0,0,154,79,113,90.49,10.38,10.38,11.46,820.02,1598.52,104.1,1.48,156.15,1,0.0,0.0,0,0,0.0,11.49,11.49,158.3,-45.3,Below Reorder,REPLENISH
2022-01-21,S001-P0001,S001,P0001,Clothing,South,Snowy,Summer,1,15,430,390,195,401.1,13.1,11.14,15.14,4342.65,5633.0,117.71,3.65,176.57,0,76.86,1006.83,0,0,0.0,11.1,11.1,0.0,195.0,Excess,REDUCE STOCK
2022-01-22,S001-P0001,S001,P0001,Electronics,North,Snowy,Spring,1,0,450,191,197,181.42,87.64,87.64,91.45,16739.24,39438.0,121.05,3.72,181.57,0,86.86,7612.73,0,0,0.0,-9.58,9.58,0.0,197.0,Excess,REDUCE STOCK
2022-01-23,S001-P0001,S001,P0001,Furniture,West,Cloudy,Spring,0,15,118,79,155,69.99,22.65,19.25,25.19,1520.95,2672.7,119.22,0.99,178.83,1,0.0,0.0,0,0,0.0,-9.01,9.01,239.65,-84.65,Critical,REPLENISH NOW
2022-01-24,S001-P0001,S001,P0001,Toys,South,Snowy,Summer,1,15,115,9,132,17.87,76.71,65.2,75.85,586.83,8821.65,114.62,1.0,171.94,1,0.0,0.0,0,0,0.0,8.87,8.87,228.88,-96.88,Below Reorder,REPLENISH
