Year_Month,Units_Sold,Revenue,Avg_Inventory,Avg_Days_of_Cover,Critical_Positions,Excess_Positions,Excess_Value,Forecast_Bias,Position_Days,Is_Complete_Month
2022-01,419938,20919532.62,272.01,2.05,586,617,685.05,5.05,3100,1
2022-02,391052,19061033.49,275.8,2.05,545,549,664.73,5.16,2800,1
2022-03,426073,21522683.07,274.81,2.01,576,548,589.76,5.16,3100,1
2022-04,407380,20314402.68,272.19,2.01,576,559,626.93,5.02,3000,1
2022-05,414799,20542562.41,271.75,2.05,574,632,664.17,4.82,3100,1
2022-06,415509,20981786.82,278.93,2.1,524,636,776.81,4.99,3000,1
2022-07,426628,21293910.2,274.61,2.0,588,529,536.77,5.01,3100,1
2022-08,424916,21055281.19,275.25,2.02,572,549,555.84,4.98,3100,1
2022-09,411610,20628910.98,278.38,2.06,520,564,593.42,5.15,3000,1
2022-10,426863,21147496.16,275.54,2.04,596,580,658.07,4.93,3100,1
2022-11,414535,20719137.35,276.59,2.05,569,584,687.14,4.99,3000,1
2022-12,412321,20268137.37,271.94,2.04,602,575,688.24,5.05,3100,1
2023-01,423408,20723763.13,275.42,2.07,541,623,682.82,4.98,3100,1
2023-02,385168,19228946.41,273.73,2.03,531,509,652.5,5.36,2800,1
2023-03,416522,20944688.73,273.72,2.05,566,592,665.13,5.01,3100,1
2023-04,401077,20197978.26,274.71,2.09,551,630,781.63,4.75,3000,1
2023-05,418673,20726724.87,271.0,2.03,601,571,619.72,4.76,3100,1
2023-06,405641,20046288.81,274.2,2.07,579,630,676.79,5.15,3000,1
2023-07,437919,21306954.4,278.49,2.04,563,562,606.48,5.35,3100,1
2023-08,416501,20566570.75,269.82,1.97,610,512,513.08,5.23,3100,1
2023-09,405361,19876339.86,273.89,2.07,536,622,662.36,4.84,3000,1
2023-10,425646,20912916.38,278.21,2.09,554,652,745.56,4.96,3100,1
2023-11,416126,20711675.49,276.34,2.03,573,555,593.73,5.28,3000,1
2023-12,418672,20645510.74,270.61,2.0,603,576,595.62,4.78,3100,1
2024-01,13244,628142.78,264.76,1.97,17,15,396.81,4.78,100,0
