SKU_Key,Store_ID,Product_ID,Total_Units_Sold,Total_Revenue,Avg_Daily_Demand,Demand_StdDev,Avg_Inventory,Avg_Inventory_Value,Avg_Days_of_Cover,Days_Critical,Days_Excess,Sold_Out_Days,Stockout_Risk_Days,Unserved_Units,Avg_Excess_Value,Forecast_Bias,Forecast_MAE,Avg_Units_Ordered,Observation_Days,Inventory_Turnover,Demand_CV,Pct_Days_Critical,Pct_Days_Excess
S001-P0001,S001,P0001,100371,5046615.7,137.31,108.19,272.82,15047.62,2.01,147,138,3,30,189.7,605.93,5.76,8.61,110.13,731,183.82,0.79,20.11,18.88
S001-P0002,S001,P0002,95789,4793034.09,131.04,104.31,272.66,15048.88,2.13,124,161,6,22,183.51,912.13,5.38,8.44,113.15,731,175.53,0.8,16.96,22.02
S001-P0003,S001,P0003,103393,4885109.58,141.44,107.21,274.54,14823.05,1.97,139,115,3,29,171.26,426.28,5.12,8.27,114.41,731,188.17,0.76,19.02,15.73
S001-P0004,S001,P0004,103001,5139828.38,140.9,113.64,275.91,15115.96,1.98,138,122,2,28,147.8,435.88,5.15,8.39,107.98,731,186.53,0.81,18.88,16.69
S001-P0005,S001,P0005,97318,4803527.74,133.13,107.37,269.33,14567.02,2.04,131,136,4,23,148.79,644.02,5.1,8.77,108.79,731,180.55,0.81,17.92,18.6
S001-P0006,S001,P0006,95522,4705041.57,130.67,109.02,272.95,14899.75,2.14,136,169,3,30,224.28,849.45,5.31,8.18,106.62,731,174.86,0.83,18.6,23.12
S001-P0007,S001,P0007,100749,4940513.13,137.82,111.2,278.41,15068.04,2.04,143,136,8,21,172.01,560.56,4.63,7.94,108.78,731,180.81,0.81,19.56,18.6
S001-P0008,S001,P0008,100244,4926613.31,137.13,108.7,269.92,14887.36,2.03,132,126,1,23,167.72,678.19,4.58,8.3,109.51,731,185.56,0.79,18.06,17.24
S001-P0009,S001,P0009,96080,4845080.93,131.44,107.09,270.53,15076.01,2.09,132,157,6,26,162.49,720.56,4.91,8.24,107.7,731,177.46,0.82,18.06,21.48
S001-P0010,S001,P0010,96756,4894993.55,132.36,105.92,274.89,15782.25,2.13,127,172,3,23,208.32,982.88,4.29,7.98,113.76,731,175.87,0.8,17.37,23.53
